,APOBEC 2 ,Background  
MMRF_1648_1_BM,0.215730497,0.784269503
MMRF_1787_1_BM,0.215376011,0.784623989
MMRF_1232_4_BM,0.214982424,0.785017576
MMRF_1586_1_BM,0.214979734,0.785020266
MMRF_2436_1_BM,0.214608953,0.785391047
MMRF_2485_1_BM,0.214545469,0.785454531
MMRF_1861_2_BM,0.214149883,0.785850117
MMRF_1110_2_BM,0.213618009,0.786381991
MMRF_2669_1_BM,0.213554703,0.786445297
MMRF_1304_1_BM,0.213093735,0.786906265
MMRF_2240_1_BM,0.212990967,0.787009033
MMRF_2209_1_BM,0.212595055,0.787404945
MMRF_1906_1_BM,0.211432321,0.788567679
MMRF_2289_3_BM,0.211070429,0.788929571
MMRF_1719_1_BM,0.210602336,0.789397664
MMRF_2011_2_BM,0.210599302,0.789400698
MMRF_1137_2_BM,0.209958026,0.790041974
MMRF_1432_1_BM,0.209663259,0.790336741
MMRF_2598_1_BM,0.208845484,0.791154516
MMRF_2017_1_BM,0.208507094,0.791492906
MMRF_2111_2_BM,0.207559668,0.792440332
MMRF_1931_2_BM,0.207394418,0.792605582
MMRF_1462_4_BM,0.207099544,0.792900456
MMRF_1640_1_BM,0.206614712,0.793385288
MMRF_1710_1_BM,0.206564948,0.793435052
MMRF_2667_1_BM,0.206385803,0.793614197
MMRF_2246_1_BM,0.206310123,0.793689877
MMRF_1261_1_BM,0.20569606,0.79430394
MMRF_2201_1_BM,0.205581478,0.794418522
MMRF_1148_1_BM,0.205230089,0.794769911
MMRF_2782_1_BM,0.204793079,0.795206921
MMRF_2541_1_BM,0.204719855,0.795280145
MMRF_2167_3_PB,0.204654979,0.795345021
MMRF_2126_2_BM,0.203932146,0.796067854
MMRF_2493_1_BM,0.203900622,0.796099378
MMRF_2440_1_BM,0.203609802,0.796390198
MMRF_2111_1_BM,0.203556056,0.796443944
MMRF_1646_1_BM,0.203254235,0.796745765
MMRF_1169_1_BM,0.20314373,0.79685627
MMRF_2699_1_BM,0.203104351,0.796895649
MMRF_1833_1_BM,0.202978084,0.797021916
MMRF_2012_1_BM,0.202847792,0.797152208
MMRF_1501_1_BM,0.202450864,0.797549136
MMRF_1652_1_BM,0.202078286,0.797921714
MMRF_1531_1_BM,0.202050454,0.797949546
MMRF_1179_1_BM,0.201526032,0.798473968
MMRF_2562_2_BM,0.201412596,0.798587404
MMRF_1425_1_BM,0.201191008,0.798808992
MMRF_2118_1_BM,0.200056844,0.799943156
MMRF_2089_1_BM,0.19930799,0.80069201
MMRF_1462_3_BM,0.198314777,0.801685223
MMRF_2014_1_BM,0.19791208,0.80208792
MMRF_1977_1_BM,0.197866992,0.802133008
MMRF_2173_1_BM,0.197606566,0.802393434
MMRF_2647_1_BM,0.196821736,0.803178264
MMRF_2679_1_BM,0.196478619,0.803521381
MMRF_1308_1_BM,0.196361654,0.803638346
MMRF_1502_1_BM,0.196169018,0.803830982
MMRF_2829_1_BM,0.196143479,0.803856521
MMRF_2456_1_BM,0.19607311,0.80392689
MMRF_2400_1_BM,0.195927944,0.804072056
MMRF_1677_1_BM,0.195796864,0.804203136
MMRF_1201_3_BM,0.195730808,0.804269192
MMRF_2232_1_BM,0.194755799,0.805244201
MMRF_2126_1_BM,0.194555658,0.805444342
MMRF_2754_1_BM,0.194289833,0.805710167
MMRF_1572_1_BM,0.194195632,0.805804368
MMRF_2653_1_BM,0.194072279,0.805927721
MMRF_2522_1_BM,0.19349011,0.80650989
MMRF_1424_3_BM,0.193410066,0.806589934
MMRF_2289_1_BM,0.193333223,0.806666777
MMRF_2056_1_BM,0.193137116,0.806862884
MMRF_2176_1_BM,0.193021333,0.806978667
MMRF_2613_1_BM,0.192593434,0.807406566
MMRF_1201_5_BM,0.191512508,0.808487492
MMRF_2821_1_BM,0.19120387,0.80879613
MMRF_2557_1_BM,0.190880095,0.809119905
MMRF_2526_1_BM,0.190804823,0.809195177
MMRF_1876_1_BM,0.19075594,0.80924406
MMRF_2734_1_BM,0.190518712,0.809481288
MMRF_2279_1_BM,0.190140768,0.809859232
MMRF_2058_1_BM,0.189824042,0.810175958
MMRF_1523_1_BM,0.189761955,0.810238045
MMRF_1020_3_BM,0.189681293,0.810318707
MMRF_1080_1_BM,0.189320997,0.810679003
MMRF_2352_1_BM,0.188684367,0.811315633
MMRF_2353_1_BM,0.188276092,0.811723908
MMRF_1392_1_BM,0.188058561,0.811941439
MMRF_2265_1_BM,0.187949118,0.812050882
MMRF_1816_1_BM,0.18767738,0.81232262
MMRF_1790_1_BM,0.187648073,0.812351927
MMRF_2567_1_BM,0.187418389,0.812581611
MMRF_1639_2_BM,0.187368668,0.812631332
MMRF_2129_1_BM,0.187333834,0.812666166
MMRF_1202_1_BM,0.186784784,0.813215216
MMRF_2144_1_BM,0.186675379,0.813324621
MMRF_1991_1_BM,0.186509885,0.813490115
MMRF_1342_1_BM,0.186453974,0.813546026
MMRF_2216_1_BM,0.186357988,0.813642012
MMRF_1285_1_BM,0.186117222,0.813882778
MMRF_2524_1_BM,0.185639969,0.814360031
MMRF_1195_1_BM,0.185422596,0.814577404
MMRF_1348_1_BM,0.185059121,0.814940879
MMRF_1755_1_BM,0.184857408,0.815142592
