	Feature	score
988	ENSG00000175164	52
989	ENSG00000175265	9
990	ENSG00000175274	22
991	ENSG00000175445	-15
992	ENSG00000175489	20
993	ENSG00000175591	13
994	ENSG00000175592	14
995	ENSG00000176014	1
996	ENSG00000176076	47
997	ENSG00000176435	17
998	ENSG00000176485	34
999	ENSG00000176595	-11
1000	ENSG00000176659	23
1001	ENSG00000176728	8
1002	ENSG00000176788	56
1003	ENSG00000176842	64
1004	ENSG00000176845	5
1005	ENSG00000177034	9
1006	ENSG00000177133	33
1007	ENSG00000177272	64
1008	ENSG00000177398	19
1009	ENSG00000177425	52
1010	ENSG00000177469	76
1011	ENSG00000177494	39
1012	ENSG00000177508	76
1013	ENSG00000177575	16
1014	ENSG00000177606	18
1015	ENSG00000177663	27
1016	ENSG00000177685	13
1017	ENSG00000177706	16
1018	ENSG00000177989	-13
1019	ENSG00000177990	25
1020	ENSG00000178209	10
1021	ENSG00000178695	18
1022	ENSG00000178773	42
1023	ENSG00000178789	29
1024	ENSG00000179094	-3
1025	ENSG00000179097	13
1026	ENSG00000179104	32
1027	ENSG00000179144	8
1028	ENSG00000179241	54
1029	ENSG00000179242	1
1030	ENSG00000179344	20
1031	ENSG00000179348	1
1032	ENSG00000179388	10
1033	ENSG00000179447	38
1034	ENSG00000179455	-1
1035	ENSG00000179542	52
1036	ENSG00000179583	22
1037	ENSG00000179593	-10
1038	ENSG00000179639	2
1039	ENSG00000179855	51
1040	ENSG00000179862	-8
1041	ENSG00000179921	8
1042	ENSG00000180044	75
1043	ENSG00000180061	44
1044	ENSG00000180071	24
1045	ENSG00000180172	13
1046	ENSG00000180229	8
1047	ENSG00000180340	18
1048	ENSG00000180509	34
1049	ENSG00000180530	39
1050	ENSG00000180539	-6
1051	ENSG00000180592	26
1052	ENSG00000180596	-9
1053	ENSG00000180644	3
1054	ENSG00000180767	8
1055	ENSG00000180871	21
1056	ENSG00000180921	7
1057	ENSG00000181104	25
1058	ENSG00000181218	10
1059	ENSG00000181433	-8
