county,year_week,case_mean,case_mean_per100thou,next_week_mean,next_week_per100thou,next_week_increase,vacc_incidence_n,vacc_incidence_per100thou,mean_per_pop_fully_vacc,mean_fully_vacc_n,vacc_prevalence_per100thou,mean_retail_rec,mean_grocery_pharm,mean_parks,mean_transit_stations,mean_workplaces,mean_residential
Gloucester County,2021 - 31,38.714285714285715,13.274865145004636,50.000014285714286,17.144664679845523,1,166.14285714285714,56.9692552163852,48.4,141178.85714285713,48409.269480742136,-4.571428571428571,2.5714285714285716,97.42857142857143,-32.57142857142857,-30.428571428571427,4.857142857142857
Gloucester County,2021 - 32,50.000014285714286,17.144664679845523,68,23.316737302664965,1,193.71428571428572,66.42331046725566,48.84285714285714,142404.85714285713,48829.65653858136,-5.857142857142857,1.1428571428571428,70.71428571428571,-35.285714285714285,-31,5.142857142857143
Gloucester County,2021 - 33,68,23.316737302664965,88.46938571428572,30.33555038276678,1,247.57142857142858,84.89055828890417,49.385714285714286,144007.14285714287,49379.06940746097,-4.857142857142857,-0.7142857142857143,71.28571428571429,-32,-32,5.428571428571429
Gloucester County,2021 - 34,88.46938571428572,30.33555038276678,91.55102857142857,31.392224749834924,1,294.7142857142857,101.05552322562568,50.028571428571425,145889.85714285713,50024.639325342934,-5.428571428571429,-1.5714285714285714,59.285714285714285,-33.857142857142854,-31.571428571428573,5.571428571428571
Gloucester County,2021 - 35,91.55102857142857,31.392224749834924,84.69388571428571,29.04095712267543,0,283,97.03877436256155,50.72857142857143,147958.85714285713,50734.08534709608,-2.142857142857143,2.7142857142857144,85.85714285714286,-30.857142857142858,-31,5.714285714285714
Gloucester County,2021 - 36,84.69388571428571,29.04095712267543,103.02045714285714,35.325013764712565,1,204.28571428571428,70.04818139245987,51.31428571428572,149625.42857142858,51305.54134998031,-1.7142857142857142,4.285714285714286,115.71428571428571,-32.714285714285715,-34.142857142857146,5.857142857142857
Gloucester County,2021 - 37,103.02045714285714,35.325013764712565,114.143,39.13885802850128,1,257.85714285714283,88.4174597296434,51.885714285714286,151279.7142857143,51872.78466503254,-4.142857142857143,4.142857142857143,112,-29.857142857142858,-28.285714285714285,4
Gloucester County,2021 - 38,114.143,39.13885802850128,96.28563333333334,33.01568850667728,0,265.85714285714283,91.16060529466282,52.48571428571429,153075.2857142857,52488.4738901527,-6.571428571428571,4.142857142857143,114.85714285714286,-30.714285714285715,-25,3.7142857142857144
Gloucester County,2021 - 39,96.28563333333334,33.01568850667728,94.63262857142857,32.44888442148039,0,157.28571428571428,53.932201197970855,53.02857142857143,154611.85714285713,53015.35377760534,-4.714285714285714,7.428571428571429,118.57142857142857,-30.571428571428573,-23,3.4285714285714284
Mercer County,2020 - 07,0,0,0,0,0,0,0,0,0,0,0,-2,13,3,1,0
Mercer County,2020 - 08,0,0,0,0,0,0,0,0,0,0,2.5714285714285716,-0.42857142857142855,15,1.2857142857142858,-3.5714285714285716,0.7142857142857143
Mercer County,2020 - 09,0,0,0,0,0,0,0,0,0,0,2.857142857142857,2,12.857142857142858,2,2.5714285714285716,-0.2857142857142857
Mercer County,2020 - 10,0,0,0.3061228571428572,0.0833146060862905,1,0,0,0,0,0,5.571428571428571,7.285714285714286,20.571428571428573,1,2.7142857142857144,-0.5714285714285714
Mercer County,2020 - 11,0.3061228571428572,0.0833146060862905,2.6734714285714287,0.7276138117658951,1,0,0,0,0,0,2.5714285714285716,13.142857142857142,44.57142857142857,-16.142857142857142,-3,1.7142857142857142
Mercer County,2020 - 12,2.6734714285714287,0.7276138117658951,10.959181428571428,2.982658310037675,1,0,0,0,0,0,-28.428571428571427,2.142857142857143,30.428571428571427,-49.714285714285715,-33.57142857142857,14.285714285714286
Mercer County,2020 - 13,10.959181428571428,2.982658310037675,38.122457142857144,10.375433999090205,1,0,0,0,0,0,-51,-25.285714285714285,-7.857142857142857,-68.71428571428571,-52.142857142857146,22.285714285714285
Mercer County,2020 - 14,38.122457142857144,10.375433999090205,93.71427142857142,25.505340181414535,1,0,0,0,0,0,-53.57142857142857,-4.857142857142857,-5.142857142857143,-71.57142857142857,-54.285714285714285,22.714285714285715
Mercer County,2020 - 15,93.71427142857142,25.505340181414535,123.97971428571428,33.742403800918346,1,0,0,0,0,0,-62.857142857142854,20,-3.7142857142857144,-72.71428571428571,-56.42857142857143,23.428571428571427
Mercer County,2020 - 16,123.97971428571428,33.742403800918346,137.36742857142858,37.38601327366534,1,0,0,0,0,0,-66.14285714285714,-26.428571428571427,-25,-75,-55.57142857142857,23.571428571428573
Mercer County,2020 - 17,137.36742857142858,37.38601327366534,132.5917142857143,36.08625160866404,0,0,0,0,0,0,-63.42857142857143,-23.333333333333332,-16.428571428571427,-72.57142857142857,-52.57142857142857,22.142857142857142
Mercer County,2020 - 18,132.5917142857143,36.08625160866404,155.67342857142856,42.368186748885115,1,0,0,0,0,0,-59.42857142857143,-19.833333333333332,-7.428571428571429,-70.57142857142857,-51.142857142857146,20.714285714285715
Mercer County,2020 - 19,155.67342857142856,42.368186748885115,94.04085714285715,25.594223972690624,0,0,0,0,0,0,-53.142857142857146,-15.166666666666666,7.142857142857143,-68.57142857142857,-48.285714285714285,19.428571428571427
Mercer County,2020 - 20,94.04085714285715,25.594223972690624,85.0408,23.144762267642818,0,0,0,0,0,0,-50.857142857142854,-14.571428571428571,28.285714285714285,-66.42857142857143,-46.42857142857143,18
Mercer County,2020 - 21,85.0408,23.144762267642818,72.02041428571428,19.601125190026476,0,0,0,0,0,0,-48.285714285714285,-12.857142857142858,17.285714285714285,-64,-44.142857142857146,18
Mercer County,2020 - 22,72.02041428571428,19.601125190026476,59.918371428571426,16.30742493225143,0,0,0,0,0,0,-46.857142857142854,-12.285714285714286,43,-62.142857142857146,-43.42857142857143,16.857142857142858
Mercer County,2020 - 23,59.918371428571426,16.30742493225143,28.999985714285714,7.892655938351717,0,0,0,0,0,0,-46.285714285714285,-10.285714285714286,31.714285714285715,-60,-38.285714285714285,15.428571428571429
Mercer County,2020 - 24,28.999985714285714,7.892655938351717,23.918385714285716,6.509644208226251,0,0,0,0,0,0,-42.857142857142854,-7.714285714285714,48,-55.857142857142854,-36.42857142857143,13.714285714285714
Mercer County,2020 - 25,23.918385714285716,6.509644208226251,24.306114285714287,6.615168681303728,1,0,0,0,0,0,-36.714285714285715,-4.714285714285714,47,-49.857142857142854,-35.42857142857143,12.857142857142858
Mercer County,2020 - 26,24.306114285714287,6.615168681303728,13.6939,3.7269411860762593,0,0,0,0,0,0,-34.857142857142854,-5,40.142857142857146,-43.57142857142857,-35.285714285714285,11.285714285714286
Mercer County,2020 - 27,13.6939,3.7269411860762593,11.775507142857142,3.204830074533147,0,0,0,0,0,0,-30.714285714285715,-2.2857142857142856,51.142857142857146,-37.714285714285715,-39.714285714285715,11.285714285714286
Mercer County,2020 - 28,11.775507142857142,3.204830074533147,7.714287142857143,2.099525662808465,0,0,0,0,0,0,-34.42857142857143,-7.714285714285714,30.285714285714285,-36,-36.714285714285715,11.857142857142858
Mercer County,2020 - 29,7.714287142857143,2.099525662808465,6.448977142857143,1.7551580281569668,0,0,0,0,0,0,-28.857142857142858,-4.142857142857143,52.57142857142857,-36.57142857142857,-35.142857142857146,10
Mercer County,2020 - 30,6.448977142857143,1.7551580281569668,17.367371428571428,4.726715681509791,1,0,0,0,0,0,-29.571428571428573,-6,32.285714285714285,-40.857142857142854,-36,11.142857142857142
Mercer County,2020 - 31,17.367371428571428,4.726715681509791,14.081628571428572,3.832465659153736,0,0,0,0,0,0,-26.428571428571427,-3.5714285714285716,41.42857142857143,-41.285714285714285,-36,10.142857142857142
Mercer County,2020 - 32,14.081628571428572,3.832465659153736,10.30611,2.8049179435538742,0,0,0,0,0,0,-25.142857142857142,-3.857142857142857,37,-44.42857142857143,-37.285714285714285,10
Mercer County,2020 - 33,10.30611,2.8049179435538742,10.714285714285714,2.9160073250104004,1,0,0,0,0,0,-26.142857142857142,-6.857142857142857,40.285714285714285,-40.285714285714285,-35.714285714285715,9.714285714285714
Mercer County,2020 - 34,10.714285714285714,2.9160073250104004,9.244894285714286,2.516096749235034,0,0,0,0,0,0,-26.285714285714285,-7.571428571428571,-7,-38.285714285714285,-36.142857142857146,9.285714285714286
Mercer County,2020 - 35,9.244894285714286,2.516096749235034,10.020411428571428,2.727162025031007,1,0,0,0,0,0,-26.714285714285715,-9,1.7142857,-38.42857142857143,-36.42857142857143,9.571428571428571
Mercer County,2020 - 36,10.020411428571428,2.727162025031007,12.040814285714285,3.277036247915055,1,0,0,0,0,0,-23.142857142857142,-5.285714285714286,1.7142857,-34.285714285714285,-35.857142857142854,8
Mercer County,2020 - 37,12.040814285714285,3.277036247915055,11.510214285714286,3.1326277891610066,0,0,0,0,0,0,-24,-7.714285714285714,62,-36.57142857142857,-39.57142857142857,9.571428571428571
Mercer County,2020 - 38,11.510214285714286,3.1326277891610066,10.367358571428571,2.8215873966275407,0,0,0,0,0,0,-23.571428571428573,-8.142857142857142,43.57142857142857,-38.57142857142857,-34,8.571428571428571
Mercer County,2020 - 39,10.367358571428571,2.8215873966275407,10.081632857142857,2.743824090886116,0,0,0,0,0,0,-22.571428571428573,-9.285714285714286,35.857142857142854,-39.42857142857143,-33,8.857142857142858
