county,state,cocaineDeath,year,fips,meanHouseholdSize,prevDisabled,gini,prevHispanic,medianAge,prevMedicaid,prevMinBachelors,prevBlack,prevWhite,perCapIncome,prevMen,nPop,prevPoverty,medianRentCostBurden,prevNoCar,totalJailAdmit,jailAdmit100k
Cook,IL,1834,2015-2019,17031,14.37,10.21,0.51,25.29,2.59,37,22.20,38.81,23.07,42.29,37552,48.53,5198275,29.6,17.82,335866.25,692079641.4588914
Craven,NC,64,2015-2019,37049,15.22,16.37,0.45,7.29,2.36,37,18.05,25.25,21.37,65.88,29521,50.51,102491,28.7,6.36,17208.75,34069986.141358145
Cumberland,ME,106.25,2015-2019,23005,9.04,11.36,0.45,2.07,2.35,42,12.53,47.60,2.93,90.29,40527,48.51,292307,28.8,7.09,42900,88435374.14965987
Cumberland,NC,170,2015-2019,37051,18.37,17.50,0.45,11.58,2.53,31,23.26,25.50,35.97,43.46,24936,49.75,332861,31.3,6.76,61815,124251256.28140704
Cumberland,NJ,105,2015-2019,34011,16.49,14.27,0.47,30.71,2.74,38,30.30,15.57,18.10,46.41,25694,51.14,151906,37.5,10.12,29025.625,56757186.15565115
Cuyahoga,OH,893,2015-2019,39035,17.46,14.94,0.51,5.93,2.25,40,25.52,32.53,29.24,58.92,33114,47.67,1247451,29.3,12.85,275945.625,578866425.4247955
Dallas,TX,500,2015-2019,48113,15.36,9.46,0.50,40.18,2.78,33,19.21,31.48,22.26,29.13,32653,49.31,2606868,28.5,6.84,451777.5,916198539.849929
Dane,WI,101.25,2015-2019,55025,10.91,8.31,0.44,6.35,2.34,35,10.61,51.35,5.07,79.53,40614,49.7,536078,28.4,7.39,64450,129678068.41046277
Darke,OH,55,2015-2019,39037,10.51,13.69,0.41,1.57,2.44,42,18.38,15.79,0.75,96.08,27855,49.42,51513,22.6,4.91,5200,10522055.847834885
Davidson,NC,61.66666666666667,2015-2019,37057,15.40,15.61,0.43,7.11,2.45,43,18.97,18.48,9.15,80.18,25988,48.85,165381,28.5,5.49,31248.75,63968781.98567042
Davidson,TN,359,2015-2019,47037,14.88,11.51,0.48,10.23,2.36,34,18.16,41.70,26.93,56.20,36440,48.19,687488,28.9,6.57,213540,443120979.45631874
DeKalb,GA,131,2015-2019,13089,15.12,10.21,0.49,8.53,2.61,36,17.63,44.16,53.44,29.13,36077,47.28,749323,31.3,8.65,146342.5,309523054.14551604
Delaware,OH,57.5,2015-2019,39041,4.81,8.26,0.43,2.61,2.84,39,7.14,54.32,3.30,85.04,48117,49.57,201135,25.0,2.64,18980,38289287.87573129
