Gene_name,BMI_1,BMI_3,foldchange,ANOVA
RP13-1056D16.2_46222,0.631496616,0.643948603,-0.012451986,0.87485558
RP13-122B23.8_46223,1.974102377,2.027266225,-0.053163847,0.659330686
RP13-122B23.9_46224,0.826431695,0.89831441,-0.071882715,0.479220632
RP13-126C7.1_46225,0.759416578,0.790154375,-0.030737797,0.742895015
RP13-126P21.2_46226,3.461703887,3.573717582,-0.112013696,0.327393706
RP13-128O4.3_46227,2.265483347,2.332558833,-0.067075486,0.617331908
RP13-130D24.1_46228,3.295740296,3.296796361,-0.001056065,0.984077948
RP13-131K19.1_46229,4.109722406,4.273673603,-0.163951197,0.014589388
RP13-131K19.2_46230,4.064236604,4.002683973,0.061552631,0.507156801
RP13-131K19.6_46231,5.063119492,5.080565148,-0.017445655,0.868028632
RP13-131K19.7_46232,0.027598544,0.014796262,0.012802282,0.454741794
RP13-13A3.1_46233,0.110367807,0.102687679,0.007680128,0.831690996
RP13-140E4.1_46234,0.712512339,0.699629058,0.012883282,0.792464768
RP13-143G15.4_46235,4.449507531,4.378583492,0.07092404,0.175856299
RP13-146A14.1_46236,0.110390085,0.13013259,-0.019742505,0.641720805
RP13-147D17.1_46237,0.009446412,0.018139833,-0.008693421,0.559074329
RP13-147D17.3_46238,5.151292086,5.161505445,-0.010213359,0.965419047
