"CRN","UNIT_NUM","MC_BAG_IND","MC_DVR_BOOTS_IND","MC_DVR_EDC_IND","MC_DVR_EYEPRT_IND","MC_DVR_HLMT_TYPE","MC_DVR_HLMTDOT_IND","MC_DVR_HLMTON_IND","MC_DVR_LNGPNTS_IND","MC_DVR_LNGSLV_IND","MC_ENGINE_SIZE","MC_PAS_BOOTS_IND","MC_PAS_EYEPRT_IND","MC_PAS_HLMT_TYPE","MC_PAS_HLMTDOT_IND","MC_PAS_HLMTON_IND","MC_PAS_LNGPNTS_IND","MC_PAS_LNGSLV_IND","MC_PASSNGR_IND","MC_TRAIL_IND","PC_HDLGHT_IND","PC_HLMT_IND","PC_PASSNGR_IND","PC_REAR_RFLTR_IND","CRASH_YEAR","COUNTY","COUNTY_YEAR","COUNTY_NAME","MUNICIPALITY"
"2019018472","1","N","U","N","U","9","U","U","U","U","99999","","","","","","","","N","N","","","","","2018","67","CYCLE_2018_Philadelphia","Philadelphia","67301"
"2019017177","2","U","U","U","N","9","U","U","U","U","99999","","","","","","","","N","N","","","","","2018","67","CYCLE_2018_Philadelphia","Philadelphia","67301"
"2018085428","1","N","U","N","N","0","N","N","U","U","99999","","","","","","","","N","N","","","","","2018","67","CYCLE_2018_Philadelphia","Philadelphia","67301"
"2018093087","2","U","U","N","U","9","U","U","U","U","99999","","","","","","","","N","N","","","","","2018","67","CYCLE_2018_Philadelphia","Philadelphia","67301"
"2018084768","1","U","U","N","U","9","U","U","U","U","99999","","","","","","","","N","U","","","","","2018","67","CYCLE_2018_Philadelphia","Philadelphia","67301"
"2018090001","1","N","Y","N","Y","1","Y","Y","Y","Y","00600","","","","","","","","N","N","","","","","2018","67","CYCLE_2018_Philadelphia","Philadelphia","67301"
"2018063952","1","N","U","N","U","0","N","N","U","U","99999","","","","","","","","N","N","","","","","2018","67","CYCLE_2018_Philadelphia","Philadelphia","67301"
"2018057572","1","","","","","","","","","","","","","","","","","","","","U","N","N","U","2018","67","CYCLE_2018_Philadelphia","Philadelphia","67301"
"2018057555","2","U","U","N","U","9","U","U","U","U","99999","","","","","","","","N","N","","","","","2018","67","CYCLE_2018_Philadelphia","Philadelphia","67301"
"2018087578","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2018","67","CYCLE_2018_Philadelphia","Philadelphia","67301"
"2018088488","2","","","","","","","","","","","","","","","","","","","","U","U","N","U","2018","67","CYCLE_2018_Philadelphia","Philadelphia","67301"
"2018095322","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2018","67","CYCLE_2018_Philadelphia","Philadelphia","67301"
"2018085245","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2018","67","CYCLE_2018_Philadelphia","Philadelphia","67301"
"2018115136","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2018","67","CYCLE_2018_Philadelphia","Philadelphia","67301"
