WHO_REGION,ISO_code,Cname,Disease,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
AFR,MLI,Mali,pertussis,0,,,,0,,,,,,41,,0,33,33,,8,15,0,19,,,158,162,,,,230,430,1047,1919,2655,4864,4165,1738,2234,3003,4415,2811
EUR,MLT,Malta,pertussis,5,9,0,0,1,,,8,2,0,1,0,2,7,6,7,4,1,3,60,4,12,10,59,36,1,2,251,106,3,9,7,210,140,4,15,144,68,2
WPR,MHL,Marshall Islands (the),pertussis,,,,,,,0,0,0,2,,1,0,0,,0,0,0,0,0,0,0,0,,0,7,2,0,3,0,0,0,0,0,449,0,0,0,0
AFR,MRT,Mauritania,pertussis,0,,0,0,,,30,,,,0,0,,87,,,,,,,,,,,,,,1047,383,5032,761,737,2223,5958,8130,3797,2327,9479,7576
AFR,MUS,Mauritius,pertussis,,0,,,1,0,0,0,1,1,0,1,0,0,0,0,,0,0,0,,,0,,,,,0,12,0,0,0,0,0,0,3,0,0,0
AMR,MEX,Mexico,pertussis,783,827,1029,1107,955,961,978,252,371,559,162,164,171,349,137,72,214,218,53,51,188,593,32,15,599,149,136,163,1078,1978,693,763,1268,2608,1753,1227,2000,3977,5539
WPR,FSM,Micronesia (Federated States of),pertussis,0,0,0,0,0,,,,,0,,47,0,0,0,,,0,9,49,15,0,,0,0,17,0,0,0,0,,180,,,,,,,
EUR,MCO,Monaco,pertussis,2,,,,,,,,,,,,,,,5,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
WPR,MNG,Mongolia,pertussis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,4,1,1,4,5,28,0,1,3,0,0,0,5,0,3,19,3,1,22
EUR,MNE,Montenegro,pertussis,,19,8,,,0,2,8,1,1,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,MAR,Morocco,pertussis,73,,,,,72,172,35,15,73,74,28,27,,47,32,27,74,22,20,58,46,50,37,132,73,43,133,83,62,113,1078,1163,1762,5101,8142,12330,7359,14873
AFR,MOZ,Mozambique,pertussis,,0,,0,,,,,0,,0,,,12,12,13,11,599,94,82,57,345,252,,211,964,564,240,451,726,459,633,741,1201,,,,,
SEAR,MMR,Myanmar,pertussis,28,4,2,5,5,14,2,5,0,3,5,13,13,11,100,19,61,,55,34,46,120,331,871,551,1592,1486,2455,7882,3819,2547,5757,9783,10238,11747,22215,41765,31424,26878
AFR,NAM,Namibia,pertussis,5,0,0,0,0,0,2,16,0,0,15,0,,8,7,22,10,45,30,17,163,221,82,,,,4853,,,,,,,,,,,,
WPR,NRU,Nauru,pertussis,0,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,,,,,166,0,0,0,0,,0,0,0,4,0
SEAR,NPL,Nepal,pertussis,4153,9092,4890,4416,6096,3431,1595,1733,2293,2357,2297,879,1092,2170,3708,4479,4683,5908,6021,,14339,12443,11683,12166,5,2,8,15,18,18,13,32,25,102,160,2004,1788,10,1055
EUR,NLD,Netherlands (the),pertussis,4710,4505,3542,6566,8960,2858,13552,6726,2912,6202,8661,7325,4298,6535,9113,,5880,,4836,6279,2252,3947,2778,319,536,294,169,164,471,434,127,2709,2159,1522,534,200,80,50,30
WPR,NZL,New Zealand,pertussis,2952,2143,1096,1168,1099,3396,5598,1992,462,656,,331,1122,2720,3489,589,1068,4143,4143,1046,153,284,,10,35,48,80,221,91,,,,,,0,0,0,,0
