WHO_REGION,ISO_code,Cname,Disease,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
AFR,ZAF,South Africa,yfever,0,0,0,0,0,0,,0,,0,,,0,0,0,0,,0,0,,0,0,0,,,0,0,0,0,0,,,,,,,,,
AFR,SSD,South Sudan,yfever,3,0,,0,0,,0,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,ESP,Spain,yfever,,0,,,,0,0,0,0,1,0,0,0,0,0,,0,,0,,,,,,,,,,,,,,,,,,,,
SEAR,LKA,Sri Lanka,yfever,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,,0,,,,,,,,,,,,,,,,,,
EMR,SDN,Sudan (the),yfever,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,
AMR,SUR,Suriname,yfever,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,
EUR,SWE,Sweden,yfever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
EUR,CHE,Switzerland,yfever,1,0,0,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
EMR,SYR,Syrian Arab Republic (the),yfever,0,0,0,,,0,0,0,0,0,0,0,,0,,0,,0,0,0,,,,,,,,,,,,,,,,,,,
EUR,TJK,Tajikistan,yfever,0,0,0,,,,,,,,,,0,,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,
SEAR,THA,Thailand,yfever,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,
SEAR,TLS,Timor-Leste,yfever,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
AFR,TGO,Togo,yfever,0,0,0,0,0,0,12,0,0,0,2,3,3,0,0,0,0,0,0,0,0,0,,0,,,,,,,,5,,,1,,,,
WPR,TON,Tonga,yfever,0,0,0,,,0,0,0,0,0,0,,0,,,,0,0,,0,,,,,,,,,,,,,,,,,,,
AMR,TTO,Trinidad and Tobago,yfever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,
EMR,TUN,Tunisia,yfever,,,0,,,,0,,,,,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,
EUR,TUR,Turkey,yfever,,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,TKM,Turkmenistan,yfever,0,,0,,,,,,,,,,0,,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,
WPR,TUV,Tuvalu,yfever,,,,,,,,,,,0,0,0,,0,,,,,0,,,,,,,,,,,,,,,,,,,
AFR,UGA,Uganda,yfever,2,3,8,,,,32,66,106,0,0,0,0,0,,11,,,0,,0,0,,,,,,,,,,,,,,,,,
EUR,UKR,Ukraine,yfever,0,,,,,,,0,,,0,0,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,
