"CRN","UNIT_NUM","TRL_SEQ_NUM","TRL_VEH_REG_STATE","TRL_VEH_TYPE_CD","TRL_VEH_TAG_NUM","TRL_VEH_TAG_YR","CRASH_YEAR","COUNTY","COUNTY_YEAR","MUNICIPALITY"
"2008049347","1","0","ME","6","09TLR7094A ","2005","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008049349","1","0","IL","6","T388142 ","2008","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008049358","1","0","IN","7","P151882 ","2008","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008049781","1","0","","7","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008049782","1","0","","6","UNKNOWN ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008049869","1","0","","7","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008035870","2","0","PA","7","XM87963 ","2008","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008035882","1","0","ME","6","1741963 ","2008","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008036792","2","0","OH","7","UNKNOWN ","2008","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008125135","2","0","PA","3","XY02262 ","2009","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008080115","1","0","ZZ","7","UNK ","1999","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008081452","1","0","OH","7","TNTW9 ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008081478","1","0","","9","U8W0 ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008081509","2","0","IL","7","Z637O9J ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008082204","2","0","","1","XB758690 ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008082599","1","0","WI","6","32030 ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008075764","1","0","TN","7","U075057 ","2000","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008075768","1","0","PA","7","PT433ZU ","2007","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008075906","2","0","","1","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008075996","1","0","ZZ","7","UNKNOWN ","2008","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2009000790","2","0","PA","6","XCHYBI ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008027049","1","0","","","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008027049","2","0","","","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008027059","1","0","","","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008027223","2","0","","","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008027233","1","0","","9","9 ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008027233","2","0","","9","1 ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008027654","1","0","MI","7","B746625 ","2008","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008029081","3","0","","","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008029086","1","0","","","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008029086","2","0","","","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008029086","3","0","","","1 ","1 ","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008029086","4","0","","","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008029160","1","0","","","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008029176","1","0","","","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008029176","2","0","","","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008029176","3","0","","","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
