"CRN","UNIT_NUM","MC_BAG_IND","MC_DVR_BOOTS_IND","MC_DVR_EDC_IND","MC_DVR_EYEPRT_IND","MC_DVR_HLMT_TYPE","MC_DVR_HLMTDOT_IND","MC_DVR_HLMTON_IND","MC_DVR_LNGPNTS_IND","MC_DVR_LNGSLV_IND","MC_ENGINE_SIZE","MC_PAS_BOOTS_IND","MC_PAS_EYEPRT_IND","MC_PAS_HLMT_TYPE","MC_PAS_HLMTDOT_IND","MC_PAS_HLMTON_IND","MC_PAS_LNGPNTS_IND","MC_PAS_LNGSLV_IND","MC_PASSNGR_IND","MC_TRAIL_IND","PC_HDLGHT_IND","PC_HLMT_IND","PC_PASSNGR_IND","PC_REAR_RFLTR_IND","CRASH_YEAR","COUNTY","COUNTY_YEAR","MUNICIPALITY"
"2008069544","1","U","U","U","N","9","U","U","U","U","99999","","","","","","","","N","U","","","","","2008","67","CYCLE_2008_Philadelphia","67301"
"2008069665","2","","","","","","","","","","","","","","","","","","","","U","U","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008069701","2","U","U","U","N","0","N","N","U","U","99999","","","","","","","","N","U","","","","","2008","67","CYCLE_2008_Philadelphia","67301"
"2008070537","1","N","Y","N","Y","1","Y","Y","Y","Y","00600","U","U","9","U","U","U","U","N","N","","","","","2008","67","CYCLE_2008_Philadelphia","67301"
"2008040039","2","","","","","","","","","","","","","","","","","","","","N","N","N","N","2008","67","CYCLE_2008_Philadelphia","67301"
"2008040042","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008040132","1","U","U","U","N","0","N","N","U","U","99999","","","","","","","","N","U","","","","","2008","67","CYCLE_2008_Philadelphia","67301"
"2008040758","2","U","U","U","U","9","U","U","U","U","99999","","","","","","","","N","U","","","","","2008","67","CYCLE_2008_Philadelphia","67301"
"2008040795","1","U","U","U","N","0","N","N","U","U","99999","","","","","","","","N","U","","","","","2008","67","CYCLE_2008_Philadelphia","67301"
"2008042093","1","","","","","","","","","","","","","","","","","","","","N","N","N","N","2008","67","CYCLE_2008_Philadelphia","67301"
"2008042184","1","","","","","","","","","","","","","","","","","","","","U","N","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008042187","2","","","","","","","","","","","","","","","","","","","","U","Y","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008100548","2","","","","","","","","","","","","","","","","","","","","N","N","N","Y","2008","67","CYCLE_2008_Philadelphia","67301"
"2008100568","1","U","U","U","N","0","N","N","U","U","99999","","","","","","","","N","U","","","","","2008","67","CYCLE_2008_Philadelphia","67301"
