"CRN","UNIT_NUM","PERSON_NUM","PERSON_TYPE","INJ_SEVERITY","RESTRAINT_HELMET","AIRBAG_PADS","SEAT_POSITION","EJECTION_IND","AGE","SEX","EJECT_PATH_CD","EXTRIC_IND","TRANSPORTED","DVR_LIC_STATE","DVR_PED_CONDITION","PED_LOCATION","PED_SIGNAL","CLOTHING_TYPE","CRASH_YEAR","COUNTY","COUNTY_YEAR","MUNICIPALITY"
"2008127005","1","1","1","4","03","01","01","1","22","F","0","1","Y","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008127371","1","1","1","0","03","12","01","1","71","M","0","1","N","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008127371","2","2","1","8","03","12","01","1","45","F","0","1","Y","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008097538","1","1","1","0","00","00","01","1","41","M","0","0","N","PA","9","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008097538","2","2","2","4","02","00","03","1","16","M","0","0","Y","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008097538","2","1","1","4","02","00","01","1","39","F","0","0","Y","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008097843","3","1","1","0","03","00","01","0","37","M","0","0","N","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008097843","1","3","2","0","03","00","06","0","17","F","0","0","N","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008097843","1","2","2","0","03","00","03","0","15","M","0","0","N","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008097843","1","1","1","0","03","00","01","0","18","M","0","0","N","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008097843","2","1","1","0","03","00","01","0","49","M","0","0","N","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008097885","1","1","1","0","99","99","01","0","47","F","0","0","","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008097885","2","1","7","4","00","00","98","0","10","F","0","0","Y","","9","99","2","9","2008","67","PERSON_2008_Philadelphia","67301"
"2008097894","1","1","1","3","99","01","01","9","21","M","9","9","Y","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008097921","1","1","1","9","99","99","01","0","99","U","0","0","N","ZZ","9","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008097921","2","1","1","4","00","00","01","0","20","M","0","0","Y","","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008097927","2","1","7","4","00","00","00","0","40","M","0","0","Y","","0","01","1","1","2008","67","PERSON_2008_Philadelphia","67301"
"2008098050","2","1","1","9","99","99","01","0","26","F","0","0","N","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008098050","1","2","2","4","99","99","04","0","99","M","0","0","Y","PA","9","","","","2008","67","PERSON_2008_Philadelphia","67301"
