"ACCESS_CTRL","ADJ_RDWY_SEQ","COUNTY","CRASH_YEAR","CRN","LANE_COUNT","OFFSET","RDWY_ORIENT","RDWY_SEQ_NUM","ROAD_OWNER","ROUTE","SEGMENT","SPEED_LIMIT","STREET_NAME","COUNTY_YEAR","MUNICIPALITY"
"","5","67","2008","2008097964","02","","N","4","4","","","","28TH ST","ROADWAY_2008_Philadelphia","67301"
"","4","67","2008","2008097976","02","","E","3","4","","","","COMLY RD","ROADWAY_2008_Philadelphia","67301"
"","3","67","2008","2008097976","02","","S","4","4","","","","NORCOM RD","ROADWAY_2008_Philadelphia","67301"
"3","3","67","2008","2008097989","3 ","0","S","3","2","0001","0311","45","ROOSEVELT BL","ROADWAY_2008_Philadelphia","67301"
"3","4","67","2008","2008097989","2 ","112","E","4","2","0532","0010","35","WELSH RD","ROADWAY_2008_Philadelphia","67301"
"3","3","67","2008","2008098032","2 ","947","N","3","2","0611","0040","30","BROAD ST","ROADWAY_2008_Philadelphia","67301"
"3","3","67","2008","2008098093","2 ","1112","E","3","2","3010","0054","35","MARKET ST","ROADWAY_2008_Philadelphia","67301"
"","4","67","2008","2008098093","02","","S","4","4","","","35","THIRTYSIXTH ST","ROADWAY_2008_Philadelphia","67301"
"","3","67","2008","2008098095","02","","W","4","4","","","25","SPRUCE ST","ROADWAY_2008_Philadelphia","67301"
"","4","67","2008","2008098095","02","","S","3","4","","","25","48TH ST","ROADWAY_2008_Philadelphia","67301"
"","4","67","2008","2008098154","99","","N","4","4","","","","EADOM ST","ROADWAY_2008_Philadelphia","67301"
"3","3","67","2008","2008098154","2 ","1142","S","3","2","1009","0015","25","BRIDGE ST","ROADWAY_2008_Philadelphia","67301"
"3","3","67","2008","2008098263","2 ","962","N","3","2","1008","0070","25","LEVICK ST","ROADWAY_2008_Philadelphia","67301"
"","4","67","2008","2008098263","02","","W","4","4","","","","PALMETTO ST","ROADWAY_2008_Philadelphia","67301"
"","3","67","2008","2008098267","02","","N","3","4","","","25","OAKLAND ST","ROADWAY_2008_Philadelphia","67301"
"3","3","67","2008","2008098408","2 ","0","E","3","2","1008","0070","25","LEVICK ST","ROADWAY_2008_Philadelphia","67301"
"","4","67","2008","2008098408","02","","S","4","4","","","","TABOR AV","ROADWAY_2008_Philadelphia","67301"
"","4","67","2008","2008098423","99","","N","3","4","","","","LEIPER ST","ROADWAY_2008_Philadelphia","67301"
"","3","67","2008","2008098423","99","","E","4","4","","","","IMOGENE ST","ROADWAY_2008_Philadelphia","67301"
"3","3","67","2008","2008098426","04","0","N","5","2","0611","0160","25","BROAD ST","ROADWAY_2008_Philadelphia","67301"
"3","4","67","2008","2008098426","04","0","S","3","2","0611","0161","25","BROAD ST","ROADWAY_2008_Philadelphia","67301"
"3","5","67","2008","2008098426","02","0","W","4","2","4004","0080","25","OLNEY AV","ROADWAY_2008_Philadelphia","67301"
"3","3","67","2008","2008098431","99","1494","E","3","2","1004","0040","","ERIE AV","ROADWAY_2008_Philadelphia","67301"
"","4","67","2008","2008098431","99","","N","4","4","","","","SECOND ST","ROADWAY_2008_Philadelphia","67301"
"","4","67","2008","2008098457","02","","N","3","4","","","25","18TH ST","ROADWAY_2008_Philadelphia","67301"
"","3","67","2008","2008098457","02","","W","4","4","","","25","WINDRIM AV","ROADWAY_2008_Philadelphia","67301"
"3","3","67","2008","2008098697","2 ","2809","N","3","2","0013","0110","25","THIRTYTHIRD ST","ROADWAY_2008_Philadelphia","67301"
"","4","67","2008","2008098697","02","","E","4","4","","","25","SUSQUEHANNA ST","ROADWAY_2008_Philadelphia","67301"
"","3","67","2008","2008089349","02","","E","4","4","","","25","CHURCH LN","ROADWAY_2008_Philadelphia","67301"
"","4","67","2008","2008089349","02","","N","3","4","","","25","LENA ST","ROADWAY_2008_Philadelphia","67301"
"","3","67","2008","2008097408","01","","S","4","4","","","15","19TH ST","ROADWAY_2008_Philadelphia","67301"
"","4","67","2008","2008097408","01","","W","3","4","","","15","MANTON ST","ROADWAY_2008_Philadelphia","67301"
"","3","67","2008","2008097549","02","","W","3","4","","","25","SHEFFIELD ST","ROADWAY_2008_Philadelphia","67301"
"3","3","67","2008","2008097584","02","1516","N","5","2","3025","0020","","","ROADWAY_2008_Philadelphia","67301"
"","5","67","2008","2008097584","02","","S","4","4","","","","FIFTYSEVENTH ST","ROADWAY_2008_Philadelphia","67301"
"3","4","67","2008","2008097584","2 ","1526","S","3","2","3025","0021","35","LINDBERGH BL","ROADWAY_2008_Philadelphia","67301"
"3","3","67","2008","2008097848","2 ","2651","S","3","2","4004","0030","35","CHEW AV","ROADWAY_2008_Philadelphia","67301"
"","3","67","2008","2008097891","01","","E","4","4","","","","CARVER ST","ROADWAY_2008_Philadelphia","67301"
"","4","67","2008","2008097891","02","","S","3","4","","","","LORETTO AV","ROADWAY_2008_Philadelphia","67301"
"3","4","67","2008","2008097899","02","309","S","5","2","3005","0131","35","BELMONT AV","ROADWAY_2008_Philadelphia","67301"
"","5","67","2008","2008097899","04","","E","4","4","","","25","SOUTH CONCOURSE DR","ROADWAY_2008_Philadelphia","67301"
"3","3","67","2008","2008097899","2 ","307","N","3","2","3005","0130","35","BELMONT AV","ROADWAY_2008_Philadelphia","67301"
"","4","67","2008","2008097974","01","","E","4","4","","","","RED LION RD","ROADWAY_2008_Philadelphia","67301"
"3","3","67","2008","2008097974","2 ","1008","S","3","2","1013","0071","35","ACADEMY RD","ROADWAY_2008_Philadelphia","67301"
"3","3","67","2008","2008098034","2 ","3393","S","3","2","3007","0075","35","KELLY DR","ROADWAY_2008_Philadelphia","67301"
"","3","67","2008","2008098045","02","","N","4","4","","","35","63RD ST","ROADWAY_2008_Philadelphia","67301"
"","4","67","2008","2008098045","02","","E","3","4","","","35","GRAYS AV","ROADWAY_2008_Philadelphia","67301"
"3","3","67","2008","2008098054","2 ","921","N","3","2","0611","0110","30","BROAD ST","ROADWAY_2008_Philadelphia","67301"
"3","3","67","2008","2008098059","04","646","N","5","2","3005","0160","35","","ROADWAY_2008_Philadelphia","67301"
"","5","67","2008","2008098059","01","","E","4","4","","","25","SHERWOOD ST","ROADWAY_2008_Philadelphia","67301"
"3","4","67","2008","2008098059","04","636","S","3","2","3005","0161","35","BELMONT AV","ROADWAY_2008_Philadelphia","67301"
"","3","67","2008","2008098131","02","","U","3","4","","","25","CEDAR ST","ROADWAY_2008_Philadelphia","67301"
"","4","67","2008","2008098142","02","","W","4","4","","","25","THOMPSON ST","ROADWAY_2008_Philadelphia","67301"
"3","3","67","2008","2008098142","2 ","2422","N","3","2","0030","0040","30","LANCASTER AV","ROADWAY_2008_Philadelphia","67301"
"","3","67","2008","2008098146","01","","W","4","4","","","25","MORRIS PARK RD","ROADWAY_2008_Philadelphia","67301"
"","4","67","2008","2008098146","02","","N","3","4","","","25","64TH ST","ROADWAY_2008_Philadelphia","67301"
"","3","67","2008","2008098160","99","","E","4","4","","","","WASHINGTON AV","ROADWAY_2008_Philadelphia","67301"
"","4","67","2008","2008098160","99","","N","3","4","","","","3RD ST","ROADWAY_2008_Philadelphia","67301"
"3","3","67","2008","2008098187","02","0","N","5","2","6001","0160","40","ROOSEVELT BL","ROADWAY_2008_Philadelphia","67301"
"","5","67","2008","2008098187","02","","S","4","4","","","25","NINTH ST","ROADWAY_2008_Philadelphia","67301"
"3","4","67","2008","2008098187","3 ","0","S","3","2","6001","0161","40","ROOSEVELT BL","ROADWAY_2008_Philadelphia","67301"
"","5","67","2008","2008098212","04","","E","4","4","","","35","DEVEREAUX AV","ROADWAY_2008_Philadelphia","67301"
